 address,district_title,deputies
"вулиця Грецька 191, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 192, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 195, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 206, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 207, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 21, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 213, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 23, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 27б, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 34 А, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 34, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 34А, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 40/42, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 69, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 70, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 78а, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Грецька 79, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Джерельна 110, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Дніпропетровська 109, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Дніпропетровська 29, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Дніпропетровська 75, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Дніпропетровська 79, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Дніпропетровська 9, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Донецька 113, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Донецька 142, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Донецька 39, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Донецька 47, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Донецька 48, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Донецька 8, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Дорожня 1, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Дорожня 3, Маріуполь",Дані відсутні,Дані відсутні
